IEM	Gene	Gene_Recon	met_Human-GEM	met_Human2	met_Human1	met_Recon3D_301	In_Vivo
TKFC-related Triokinase/FMN cyclase deficiency 	ENSG00000149476	26007.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFA8-related NADH dehydrogenase alpha subcomplex subunit 8 deficiency 	ENSG00000119421	4702.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFC2-related NADH dehydrogenase subunit C2 deficiency 	ENSG00000151366	4718.1	MAM01638	MAM01638	m01638	ala_D	increase
NDUFC2-related NADH dehydrogenase subunit C2 deficiency 	ENSG00000151366	4718.1	MAM01862	MAM01862	m01862	fum	increase
NDUFC2-related NADH dehydrogenase subunit C2 deficiency 	ENSG00000151366	4718.1	MAM01716	MAM01716	m01716	lac_D	increase
FH-related Fumarate hydratase deficiency 	ENSG00000091483	2271.1	MAM01862	MAM01862	m01862	fum	increase
FH-related Fumarate hydratase deficiency 	ENSG00000091483	2271.1	MAM01716	MAM01716	m01716	lac_D	increase
MLYCD-related Malonyl-CoA decarboxylase deficiency 	ENSG00000103150	23417.1	MAM01862	MAM01862	m01862	fum	increase
MLYCD-related Malonyl-CoA decarboxylase deficiency 	ENSG00000103150	23417.1	MAM01716	MAM01716	m01716	lac_D	increase
SLC25A13-related Citrin deficiency 	ENSG00000004864	10165.1	MAM01910	MAM01910	m01910	gal	increase
SLC16A2-related Monocarboxylate transporter 8 deficiency 	ENSG00000147100	6567.1	MAM01716	MAM01716	m01716	lac_D	increase
"FBP2-related Leukodystrophy, childhood-onset, remitting "	ENSG00000130957	8789.1	MAM01716	MAM01716	m01716	lac_D	increase
SLC31A1-related High-affinity copper transporter (CTR1) deficiency 	ENSG00000136868	1317.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFB7-related NADH dehydrogenase beta subcomplex subunit 8 deficiency 	ENSG00000099795	4713.1	MAM01716	MAM01716	m01716	lac_D	increase
PYURF-related S-adenosylmethionine-dependent methyltransferase chaperone deficiency 	ENSG00000145337	100996939.1	MAM01716	MAM01716	m01716	lac_D	increase
PPCDC-related Phosphopantothenoylcysteine decarboxylase deficiency 	ENSG00000138621	60490.1	MAM01716	MAM01716	m01716	lac_D	increase
PDHA1-related Pyruvate dehydrogenase E1 alpha deficiency 	ENSG00000131828	5160.1	MAM01638	MAM01638	m01638	ala_D	increase
PDHA1-related Pyruvate dehydrogenase E1 alpha deficiency 	ENSG00000131828	5160.1	MAM01716	MAM01716	m01716	lac_D	increase
PDHB-related Pyruvate dehydrogenase E1 beta deficiency 	ENSG00000168291	5162.1	MAM01638	MAM01638	m01638	ala_D	increase
DLAT-related Dihydrolipoyl transacetylase deficiency 	ENSG00000150768	1737.1	MAM01716	MAM01716	m01716	lac_D	increase
DLD-related Dihydrolipoyl dehydrogenase deficiency 	ENSG00000091140	1738.1	MAM02360	MAM02360	m02360	leu_L	increase
DLD-related Dihydrolipoyl dehydrogenase deficiency 	ENSG00000091140	1738.1	MAM03135	MAM03135	m03135	val_L	increase
DLD-related Dihydrolipoyl dehydrogenase deficiency 	ENSG00000091140	1738.1	MAM01716	MAM01716	m01716	lac_D	increase
PDHX-related Pyruvate dehydrogenase E3-binding protein deficiency 	ENSG00000110435	8050.1	MAM01638	MAM01638	m01638	ala_D	increase
PDHX-related Pyruvate dehydrogenase E3-binding protein deficiency 	ENSG00000110435	8050.1	MAM01716	MAM01716	m01716	lac_D	increase
PDP1-related Pyruvate dehydrogenase phosphatase deficiency 	ENSG00000164951	54704.1	MAM01716	MAM01716	m01716	lac_D	increase
SLC25A20-related Carnitine acylcarnitine translocase deficiency 	ENSG00000178537	788.1	MAM01716	MAM01716	m01716	lac_D	increase
HADHA-related Trifunctional protein subunit alpha deficiency 	ENSG00000084754	3030.1	MAM01716	MAM01716	m01716	lac_D	increase
HADHB-related Isolated deficiency of long-chain 3-ketoacyl CoA thiolase 	ENSG00000138029	3032.1	MAM01716	MAM01716	m01716	lac_D	increase
ETFA-related Electron transfer flavoprotein subunit deficiency 	ENSG00000140374	2108.1	MAM00664	MAM00664	m00664	CE4970	increase
ETFA-related Electron transfer flavoprotein subunit deficiency 	ENSG00000140374	2108.1	MAM02880	MAM02880	m02880	sarcs	increase
ETFDH-related Multiple acyl-CoA dehydrogenase deficiency 	ENSG00000171503	2110.1	MAM00664	MAM00664	m00664	CE4970	increase
ETFDH-related Multiple acyl-CoA dehydrogenase deficiency 	ENSG00000171503	2110.1	MAM02880	MAM02880	m02880	sarcs	increase
CBS-related Cystathionine beta-synthase deficiency 	ENSG00000160200	875.1	MAM02880	MAM02880	m02880	sarcs	increase
ABAT-related GABA transaminase deficiency 	ENSG00000183044	"18.1, 18.2"	MAM00970	MAM00970	m00970	4abut	increase
"ST3GAL5-related Lactosylceramide alpha-2,3-sialyltransferase deficiency (CDG) "	ENSG00000115525	8869.1	MAM01716	MAM01716	m01716	lac_D	increase
XDH-related Xanthine oxidase deficiency 	ENSG00000158125	7498.1	MAM03120	MAM03120	m03120	urate	decrease
LIPC-related Hepatic lipase deficiency 	ENSG00000166035	3990.1	MAM01450	MAM01450	m01450	chsterol	increase
SCARB1-related Scavenger receptor B1 deficiency 	ENSG00000073060	949.1	MAM01450	MAM01450	m01450	chsterol	increase
ABCA1-related Tangier disease 	ENSG00000165029	19.1	MAM01450	MAM01450	m01450	chsterol	decrease
LPL-related Lipoprotein lipase deficiency 	ENSG00000175445	4023.1	MAM01450	MAM01450	m01450	chsterol	increase
ALG11-related Mannosyltransferase 4-5 deficiency (CDG) 	ENSG00000253710	440138.1	MAM01716	MAM01716	m01716	lac_D	increase
SLC19A3-related Thiamine transporter 2 deficiency 	ENSG00000135917	80704.1	MAM01716	MAM01716	m01716	lac_D	increase
PRODH-related Proline dehydrogenase deficiency 	ENSG00000100033	5625.1	MAM02770	MAM02770	m02770	pro_L	increase
AASS-related Alpha-aminoadipic semialdehyde synthase deficiency 	ENSG00000008311	10157.1	MAM02426	MAM02426	m02426	lys_L	increase
ACAD9-related Acyl-CoA Dehydrogenase 9 deficiency 	ENSG00000177646	28976.1	MAM01638	MAM01638	m01638	ala_D	increase
ACAD9-related Acyl-CoA Dehydrogenase 9 deficiency 	ENSG00000177646	28976.1	MAM01716	MAM01716	m01716	lac_D	increase
PUS1-related Pseudouridine synthase 1 deficiency 	ENSG00000177192	80324.1	MAM01716	MAM01716	m01716	lac_D	increase
SDHA-related Succinate dehydrogenase subunit A deficiency 	ENSG00000073578	6389.1	MAM01716	MAM01716	m01716	lac_D	increase
SLC25A3-related Mitochondrial phosphate carrier deficiency 	ENSG00000075415	"5250.4, 5250.1, 5250.3, 5250.2"	MAM01716	MAM01716	m01716	lac_D	increase
GALT-related Galactose-1-phosphate uridyltransferase deficiency (CDG) 	ENSG00000213930	"2592.1, 2592.3, 2592.2"	MAM01910	MAM01910	m01910	gal	increase
GALK1-related Galactokinase deficiency (CDG) 	ENSG00000108479	2584.1	MAM01910	MAM01910	m01910	gal	increase
SLC3A1-related Cystinuria type A 	ENSG00000138079	6519.1	MAM01365	MAM01365	m01365	arg_L	increase
SLC3A1-related Cystinuria type A 	ENSG00000138079	6519.1	MAM02426	MAM02426	m02426	lys_L	increase
SLC2A2-related Glucose transporter 2 deficiency 	ENSG00000163581	6514.1	MAM03120	MAM03120	m03120	urate	increase
"FBP1-related Fructose-1,6-bisphosphatase deficiency "	ENSG00000165140	2203.1	MAM01716	MAM01716	m01716	lac_D	increase
"FBP1-related Fructose-1,6-bisphosphatase deficiency "	ENSG00000165140	2203.1	MAM03120	MAM03120	m03120	urate	increase
"FBP1-related Fructose-1,6-bisphosphatase deficiency "	ENSG00000165140	2203.1	MAM01983	MAM01983	m01983	glyc	increase
"AGL-related Amylo-1,6-glucosidase (debrancher) deficiency "	ENSG00000162688	"178.4, 178.5, 178.1, 178.3, 178.2, 178.6"	MAM01450	MAM01450	m01450	chsterol	increase
PYGM-related Muscle glycogen phosphorylase deficiency 	ENSG00000068976	5837.1	MAM03120	MAM03120	m03120	urate	increase
PFKM-related Muscle phosphofructokinase deficiency 	ENSG00000152556	5213.1	MAM01716	MAM01716	m01716	lac_D	decrease
PFKM-related Muscle phosphofructokinase deficiency 	ENSG00000152556	5213.1	MAM03120	MAM03120	m03120	urate	increase
PHKA2-related Hepatic phosphorylase kinase 2 subunit deficiency 	ENSG00000044446	5256.1	MAM01450	MAM01450	m01450	chsterol	increase
SUCLA2-related ATP-specific succinyl-CoA synthetase ligase beta subunit deficiency 	ENSG00000136143	8803.1	MAM01716	MAM01716	m01716	lac_D	increase
APOC2-related Apolipoprotein C-II deficiency 	ENSG00000234906	344.1	MAM01450	MAM01450	m01450	chsterol	increase
APOE-related Apolipoprotein E deficiency 	ENSG00000130203	348.1	MAM01450	MAM01450	m01450	chsterol	increase
SLC7A7-related Lysinuric protein intolerance 	ENSG00000155465	9056.1	MAM01638	MAM01638	m01638	ala_D	increase
SLC7A7-related Lysinuric protein intolerance 	ENSG00000155465	9056.1	MAM01365	MAM01365	m01365	arg_L	increase
SLC7A7-related Lysinuric protein intolerance 	ENSG00000155465	9056.1	MAM01975	MAM01975	m01975	gln_L	increase
SLC7A7-related Lysinuric protein intolerance 	ENSG00000155465	9056.1	MAM02426	MAM02426	m02426	lys_L	increase
SLC7A7-related Lysinuric protein intolerance 	ENSG00000155465	9056.1	MAM02770	MAM02770	m02770	pro_L	increase
SLC7A7-related Lysinuric protein intolerance 	ENSG00000155465	9056.1	MAM02659	MAM02659	m02659	orot	increase
SLC25A12-related Mitochondrial aspartate-glutamate carrier isoform 1 deficiency 	ENSG00000115840	8604.1	MAM01716	MAM01716	m01716	lac_D	increase
LCAT-related Familial Lecithin cholesterol acyl transferase deficiency (partial) 	ENSG00000213398	3931.1	MAM01450	MAM01450	m01450	chsterol	increase
"GKD-related Glycerol kinase deficiency, isolated "	ENSG00000198814	"2710.2, 2710.1"	MAM01983	MAM01983	m01983	glyc	increase
BCKDHA-related Branched-chain ketoacid dehydrogenase E1 alpha deficiency 	ENSG00000248098	593.1	MAM02360	MAM02360	m02360	leu_L	increase
BCKDHA-related Branched-chain ketoacid dehydrogenase E1 alpha deficiency 	ENSG00000248098	593.1	MAM03135	MAM03135	m03135	val_L	increase
IVD-related Isovaleryl-CoA dehydrogenase deficiency 	ENSG00000128928	3712.1	MAM03120	MAM03120	m03120	urate	increase
OAT-related Ornithine aminotransferase deficiency 	ENSG00000065154	4942.1	MAM02036	MAM02036	m02036	gudac	decrease
PHKA1-related Muscle phosphorylase kinase deficiency 	ENSG00000067177	5255.1	MAM03120	MAM03120	m03120	urate	increase
SUCLG1-related GTP-specific succinyl-CoA synthetase ligase alpha subunit deficiency 	ENSG00000163541	8802.1	MAM01716	MAM01716	m01716	lac_D	increase
CAD-related Trifunctional protein deficiency (CDG) 	ENSG00000084774	790.1	MAM02659	MAM02659	m02659	orot	decrease
ACADSB-related 2-Methylbutyryl-CoA dehydrogenase deficiency 	ENSG00000196177	36.1	MAM00664	MAM00664	m00664	CE4970	increase
BCKDK-related Branched-chain ketoacid dehydrogenase kinase deficiency 	ENSG00000103507	10295.1	MAM02360	MAM02360	m02360	leu_L	decrease
BCKDK-related Branched-chain ketoacid dehydrogenase kinase deficiency 	ENSG00000103507	10295.1	MAM03135	MAM03135	m03135	val_L	decrease
PCCA-related Propionic acidemia 	ENSG00000175198	5095.1	MAM02142	MAM02142	m02142	3hpp	increase
PCCA-related Propionic acidemia 	ENSG00000175198	5095.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFS1-related NADH dehydrogenase iron-sulfur protein 1 deficiency 	ENSG00000023228	4719.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFS2-related NADH dehydrogenase iron-sulfur protein 2 deficiency 	ENSG00000158864	4720.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFS3-related NADH dehydrogenase iron-sulfur protein 3 deficiency 	ENSG00000213619	4722.1	MAM01716	MAM01716	m01716	lac_D	increase
MMUT-related Methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency 	ENSG00000146085	4594.1	MAM02142	MAM02142	m02142	3hpp	increase
MMUT-related Methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency 	ENSG00000146085	4594.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFS4-related NADH dehydrogenase iron-sulfur protein 4 deficiency 	ENSG00000164258	4724.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFS6-related NADH dehydrogenase iron-sulfur protein 6 deficiency 	ENSG00000145494	4726.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFS7-related NADH dehydrogenase iron-sulfur protein 7 deficiency 	ENSG00000115286	374291.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFA1-related NADH dehydrogenase alpha subcomplex subunit 1 deficiency 	ENSG00000125356	4694.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFA2-related NADH dehydrogenase alpha subcomplex subunit 2 deficiency 	ENSG00000131495	4695.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFA9-related NADH dehydrogenase alpha subcomplex subunit 9 deficiency 	ENSG00000139180	4704.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFA10-related NADH dehydrogenase alpha subcomplex subunit 10 deficiency 	ENSG00000130414	4705.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFA11-related NADH dehydrogenase alpha subcomplex subunit 11 deficiency 	ENSG00000174886	126328.1	MAM01716	MAM01716	m01716	lac_D	increase
SLC46A1-related Proton-coupled folate transporter deficiency 	ENSG00000076351	113235.1	MAM02133	MAM02133	m02133	hcys_L	increase
SLC46A1-related Proton-coupled folate transporter deficiency 	ENSG00000076351	113235.1	MAM01830	MAM01830	m01830	fol	decrease
NDUFA13-related NADH dehydrogenase alpha subcomplex subunit 13 deficiency 	ENSG00000186010	51079.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFB3-related NADH dehydrogenase beta subcomplex subunit 3 deficiency 	ENSG00000119013	4709.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFB9-related NADH dehydrogenase beta subcomplex subunit 9 deficiency 	ENSG00000147684	4715.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFB11-related NADH dehydrogenase beta subcomplex subunit 11 deficiency 	ENSG00000147123	54539.1	MAM01716	MAM01716	m01716	lac_D	increase
MT-ND2-related NADH dehydrogenase core subunit 2 deficiency 	ENSG00000198763	4536.1	MAM01716	MAM01716	m01716	lac_D	increase
MT-ND3-related NADH dehydrogenase core subunit 3 deficiency 	ENSG00000198840	4537.1	MAM01716	MAM01716	m01716	lac_D	increase
MT-ND4-related NADH dehydrogenase core subunit 4 deficiency 	ENSG00000198886	4538.1	MAM01716	MAM01716	m01716	lac_D	increase
MT-ND5-related NADH dehydrogenase core subunit 5 deficiency 	ENSG00000198786	4540.1	MAM01716	MAM01716	m01716	lac_D	increase
MT-ND6-related NADH dehydrogenase core subunit 6 deficiency 	ENSG00000198695	4541.1	MAM01716	MAM01716	m01716	lac_D	increase
"MTHFR-related 5,10-methylenetetrahydrofolate reductase deficiency "	ENSG00000177000	4524.1	MAM02133	MAM02133	m02133	hcys_L	increase
PLIN1-related Perilipin 1 deficiency 	ENSG00000166819	5346.1	MAM01450	MAM01450	m01450	chsterol	increase
MOCS1-related Molybdenum cofactor deficiency A 	ENSG00000124615	4337.1	MAM03148	MAM03148	m03148	xan	increase
MOCS1-related Molybdenum cofactor deficiency A 	ENSG00000124615	4337.1	MAM03120	MAM03120	m03120	urate	decrease
MOCS2-related Molybdopterin synthase deficiency 	ENSG00000164172	4338.1	MAM03148	MAM03148	m03148	xan	increase
MOCS2-related Molybdopterin synthase deficiency 	ENSG00000164172	4338.1	MAM01629	MAM01629	m01629	Lcystin	decrease
MOCS2-related Molybdopterin synthase deficiency 	ENSG00000164172	4338.1	MAM03120	MAM03120	m03120	urate	decrease
GPHN-related Molybdenum cofactor deficiency C 	ENSG00000171723	10243.1	MAM03148	MAM03148	m03148	xan	increase
SLC22A12-related Urate transporter 1 deficiency 	ENSG00000197891	116085.1	MAM03120	MAM03120	m03120	urate	decrease
SLC2A9-related Urate voltage-driven efflux transporter 1 deficiency 	ENSG00000109667	"56606.1, 56606.2"	MAM03120	MAM03120	m03120	urate	decrease
LIPT2-related Lipoyltransferase 2 deficiency 	ENSG00000175536	387787.1	MAM01716	MAM01716	m01716	lac_D	increase
LIAS-related Lipoic acid synthase deficiency 	ENSG00000121897	11019.1	MAM01716	MAM01716	m01716	lac_D	increase
LIPT1-related Lipoyltransferase 1 deficiency 	ENSG00000144182	51601.1	MAM01638	MAM01638	m01638	ala_D	increase
LIPT1-related Lipoyltransferase 1 deficiency 	ENSG00000144182	51601.1	MAM02770	MAM02770	m02770	pro_L	increase
LIPT1-related Lipoyltransferase 1 deficiency 	ENSG00000144182	51601.1	MAM01716	MAM01716	m01716	lac_D	increase
PCK1-related Cytosolic phosphoenolpyruvate carboxykinase deficiency 	ENSG00000124253	5105.1	MAM01975	MAM01975	m01975	gln_L	increase
PCK1-related Cytosolic phosphoenolpyruvate carboxykinase deficiency 	ENSG00000124253	5105.1	MAM01716	MAM01716	m01716	lac_D	increase
MPC1-related Mitochondrial pyruvate carrier deficiency 	ENSG00000060762	51660.1	MAM01716	MAM01716	m01716	lac_D	increase
ACO2-related Mitochondrial aconitase deficiency 	ENSG00000100412	50.1	MAM01716	MAM01716	m01716	lac_D	increase
MDH2-related Mitochondrial malate dehydrogenase deficiency 	ENSG00000146701	4191.1	MAM01716	MAM01716	m01716	lac_D	increase
SLC25A4-related Adenine nucleotide translocator deficiency AR 	ENSG00000151729	291.1	MAM01716	MAM01716	m01716	lac_D	increase
NDUFB8-related NADH dehydrogenase beta subcomplex subunit 8 deficiency 	ENSG00000166136	4714.1	MAM01716	MAM01716	m01716	lac_D	increase
BTD-related Biotinidase deficiency 	ENSG00000169814	686.1	MAM02142	MAM02142	m02142	3hpp	increase
BTD-related Biotinidase deficiency 	ENSG00000169814	686.1	MAM01716	MAM01716	m01716	lac_D	increase
HLCS-related Holocarboxylase synthetase deficiency 	ENSG00000159267	3141.1	MAM02142	MAM02142	m02142	3hpp	increase
HLCS-related Holocarboxylase synthetase deficiency 	ENSG00000159267	3141.1	MAM01716	MAM01716	m01716	lac_D	increase
HMBS-related Porphobilinogen deaminase deficiency 	ENSG00000256269	3145.1	MAM02756	MAM02756	m02756	ppbng	increase
UGT1A1-related UDP-glucuronosyltransferase A1 deficiency 	ENSG00000241635	54658.1	MAM01396	MAM01396	m01396	bilirub	increase
CA5A-related Carbonic anhydrase VA deficiency 	ENSG00000174990	763.1	MAM02579	MAM02579	m02579	nh4	increase
PGM1-related Phosphoglucomutase 1 deficiency (CDG) 	ENSG00000079739	5236.1	MAM02579	MAM02579	m02579	nh4	increase
ACOX1-related Peroxisomal straight-chain acyl-CoA oxidase deficiency 	ENSG00000161533	"51.1, 51.2"	MAM01396	MAM01396	m01396	bilirub	increase
ACOX1-related Peroxisomal straight-chain acyl-CoA oxidase deficiency 	ENSG00000161533	"51.1, 51.2"	MAM01689	MAM01689	m01689	crvnc	increase
